City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,vila franca do campo,37.7167,-25.4333,18.27,99,76,2.6,PT,1730092447
300,bairnsdale,-37.8333,147.6167,17.07,47,27,5.63,AU,1730092448
301,carbonear,47.7332,-53.2148,3.89,67,72,7.46,CA,1730092449
302,ceeldheer,3.8488,47.1806,27.08,76,88,3.46,SO,1730092452
303,chernigovka,44.3389,132.5728,8.34,52,5,1.89,RU,1730092453
304,udachny,66.4167,112.4,-16.49,94,90,1.36,RU,1730092273
305,hammerfest,70.6634,23.6821,5.25,87,75,1.54,NO,1730092455
306,puerto lempira,15.2667,-83.7667,25.79,85,100,2.25,HN,1730092456
307,tara,56.8944,74.371,3.18,90,100,2.57,RU,1730092457
308,harstad,68.799,16.5293,3.42,97,100,6.26,NO,1730092458
309,frederico westphalen,-27.3592,-53.3944,13.57,92,0,0.91,BR,1730092459
310,zhaozhou,45.6833,125.3167,10.88,42,1,2.53,CN,1730092460
311,itaituba,-4.2761,-55.9836,24.23,44,93,0.23,BR,1730092462
312,upper grand lagoon,30.1633,-85.7408,20.57,96,0,0.0,US,1730092463
313,lazaro cardenas,17.9583,-102.2,25.73,82,0,1.96,MX,1730092464
314,waingapu,-9.6567,120.2641,32.12,55,8,5.78,ID,1730092465
315,caribou,46.8606,-68.012,-1.76,72,0,4.12,US,1730092466
316,jayapura,-2.5333,140.7,30.66,69,55,3.34,ID,1730092467
317,broken hill,-31.95,141.4333,25.14,17,0,7.62,AU,1730092468
318,lucapa,-8.4192,20.7447,18.99,97,99,1.06,AO,1730092469
319,arno,60.1167,18.6333,5.95,82,0,6.57,SE,1730092471
320,carsamba,41.1989,36.7219,6.86,100,0,1.54,TR,1730092472
321,flin flon,54.7682,-101.865,2.79,68,100,8.17,CA,1730092473
322,ceerigaabo,10.6162,47.368,19.51,41,34,2.11,SO,1730092359
323,at taj,24.2049,23.2857,14.31,50,0,3.43,LY,1730092475
324,qarazhal,48.0078,70.7903,4.0,79,99,9.81,KZ,1730092476
325,gamba,-2.65,10.0,24.66,90,99,4.81,GA,1730092477
326,north bondi,-33.8824,151.2769,22.05,67,75,9.77,AU,1730092478
327,puerto carreno,6.189,-67.4859,26.5,86,77,1.21,CO,1730092479
328,sao jose da coroa grande,-8.8978,-35.1478,25.76,76,98,5.33,BR,1730092209
329,acajutla,13.5928,-89.8275,25.94,76,98,2.93,SV,1730092482
330,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,41,75,1.0,RU,1730092483
331,alotau,-10.3069,150.4462,29.89,67,86,2.14,PG,1730092484
